norm_title,pages,domains,sample_urls
community,6,5,https://dental.unimelb.edu.au/engage/community ; https://education.unimelb.edu.au/aerc/research/projects/community-based-research-scheme ; https://education.unimelb.edu.au/community ; https://fbe.unimelb.edu.au/alumni/community ; https://mdhs.unimelb.edu.au/advancing-health-2030/community
research groups,6,3,https://dental.unimelb.edu.au/research/research-groups ; https://mdhs.unimelb.edu.au/research/school-research/melbourne-school-of-psychological-sciences ; https://mdhs.unimelb.edu.au/our-organisation/institutes-centres-departments/cymh/research/research-groups ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/research/research-groups ; https://medicine.unimelb.edu.au/school-structure/clinical-pathology/research/research-groups
student card,6,2,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/student-card ; https://students.unimelb.edu.au/new-students/student-card ; https://students.unimelb.edu.au/new-students/student-card?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~new-students ; https://students.unimelb.edu.au/student-support/advice-and-help/student-card ; https://students.unimelb.edu.au/student-support/advice-and-help/student-card/replacement-cards
further reading,6,1,https://education.unimelb.edu.au/talking-teaching/season-7/further-reading ; https://education.unimelb.edu.au/talking-teaching/season-2/further-reading ; https://education.unimelb.edu.au/talking-teaching/season-1/further-reading ; https://education.unimelb.edu.au/talking-teaching/previous-episodes/season-7/further-reading ; https://education.unimelb.edu.au/talking-teaching/previous-episodes/season-2/further-reading
teaching,6,3,https://education.unimelb.edu.au/about/specialist-areas/arts-education/teaching ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/engagement/primary-care-community/teaching ; https://medicine.unimelb.edu.au/school-structure/general-practice/engagement/primary-care-community/teaching ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/teaching-and-learning/teaching ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/teaching-and-learning
2024,6,4,https://eng.unimelb.edu.au/csdila/news/2024 ; https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2024 ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/2024 ; https://law.unimelb.edu.au/centres/celrl/news-and-events/past-events/2024 ; https://medicine.unimelb.edu.au/school-structure/baker-department-of-cardiometabolic-health/baker-news-and-events/archive-news2/2024-5-baker-department-seed-funding-outcomes
2019,6,3,https://eng.unimelb.edu.au/about/feit-excellence-awards/honour-roll/past-honour-rolls ; https://fbe.unimelb.edu.au/icrodsc/research/workshops_and_seminars/2019 ; https://law.unimelb.edu.au/centres/cccs/events/past-events/2019-past-events ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/2019 ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/2019/supporting-personhood-an-examination-of-the-evolving-relationship-between-the-legal-person-and-the-state
visitors,6,2,https://fbe.unimelb.edu.au/finance/our-people/visitors ; https://fbe.unimelb.edu.au/managementmarketing/our-people/visitors ; https://law.unimelb.edu.au/about/visitors ; https://law.unimelb.edu.au/centres/iilah/people/visitors ; https://law.unimelb.edu.au/centres/cccs/engagement/visitors2/visitors
overview,6,4,https://fbe.unimelb.edu.au/conferences/gender-and-sexuality-at-work/home/overview ; https://law.unimelb.edu.au/centres/celrl/about/overview ; https://law.unimelb.edu.au/centres/errn/about/overview ; https://law.unimelb.edu.au/centres/mclrn/about/overview ; https://mdhs.unimelb.edu.au/healthcare-carbon-lab/overview
domestic,6,2,https://fbe.unimelb.edu.au/centenary/collections/domestic ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/domestic ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/domestic?log=false&num_ranks=9&profile=_default&query=%7ClevelOfStudy%3Agraduate-research%7CstudentType%3Adomestic-students%7CareaOfStudy%3Alaw&collection=uom%7Esp-api-m1-scholarships&f.Application+status%7CapplicationStatus=open+for+automatic+consideration ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/domestic?log=false&num_ranks=9&profile=_default&query=%7ClevelOfStudy%3Agraduate-research%7CstudentType%3Adomestic-students%7CareaOfStudy%3Alaw&collection=uom%7Esp-api-m1-scholarships&f.Application+status%7CapplicationStatus=open+for+applications ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/domestic?log=false&num_ranks=9&profile=_default&query=%7ClevelOfStudy%3Agraduate-research%7CstudentType%3Adomestic-students%7CareaOfStudy%3Alaw&collection=uom%7Esp-api-m1-scholarships&f.Application+status%7CapplicationStatus=opening+soon
two,6,1,"https://finearts-music.unimelb.edu.au/about-us/news/two-minute-interview-stephen-goss,-composer-and-guitarist ; https://finearts-music.unimelb.edu.au/about-us/news/two-minute-interview-dr-john-carpente,-music-therapist-for-children-on-the-autism-spectrum ; https://finearts-music.unimelb.edu.au/about-us/news/two-minute-interview-alex-pertout,-percussionist ; https://finearts-music.unimelb.edu.au/about-us/news/two-minute-interview-jonathan-paget,-classical-guitarist ; https://finearts-music.unimelb.edu.au/about-us/news/maude-davey"
rural clinical school,6,1,https://medicine.unimelb.edu.au/school-structure/medical-education/about-us/clinical-schools/clinical-schools-zones/rural-zone/ballarat-rural-clinical-school ; https://medicine.unimelb.edu.au/school-structure/medical-education/about-us/clinical-schools/clinical-schools-zones/rural-zone/shepparton-clinical-school ; https://medicine.unimelb.edu.au/school-structure/medical-education/about-us/clinical-schools/clinical-schools-zones/rural-zone/rural-clinical-school-echuca ; https://medicine.unimelb.edu.au/school-structure/medical-education/about-us/clinical-schools/clinical-schools-zones/rural-zone/wangaratta-clinical-school ; https://medicine.unimelb.edu.au/school-structure/rural-health/rural-clinical-school
studio 24,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2022/CDE-2022_SM2-Studios/studio-24 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-24 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-24 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-24 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-24
studio 1,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-1 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-1 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-1 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-1 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-1
studio 2,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-2 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-2 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-2 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-2 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-2
studio 16,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-16 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-16 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-16 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-16 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM2-Studios/studio-16
studio 17,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-17 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-17 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-17 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SUM-Studios/studio-17 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-17
studio 18,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-18 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-18 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-18 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-18 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-18
studio 30,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-30 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-30 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-30 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-30 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-30
studio 31,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-31 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-31 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-31 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-31 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-31
studio 33,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-33 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-33 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-33 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-33 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-33
studio 35,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-35 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-35 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-35 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-35 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-35
studio 42,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-42 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-42 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-42 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-42 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM2-Studios/studio-42
studio 08,6,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-08 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-08 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/THE-2020_SM1-Studios/studio-08 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM2-Studios/studio-08 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/THE-2020_SM2-Studios/studio-08
health and wellbeing,6,2,https://research.unimelb.edu.au/facilities/support/health-and-wellbeing ; https://students.unimelb.edu.au/student-support/health-and-wellbeing ; https://students.unimelb.edu.au/student-support/health-and-wellbeing?in_c=sinfo-enrichmentstudentsupport.source~students.medium~page-link.content~exams-assessments ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing ; https://students.unimelb.edu.au/support-and-wellbeing/health-and-wellbeing?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~
workshops and webinars,6,2,https://services.unimelb.edu.au/counsel/workshops-and-webinars ; https://services.unimelb.edu.au/counsel/student-workshops ; https://services.unimelb.edu.au/counsel/making-an-appointment/?external-uuid=6ad24d3c-bd2b-4fe0-8a3a-b78a4a997349 ; https://services.unimelb.edu.au/counsel/resources/study-related-issues/?external-uuid=6ad24d3c-bd2b-4fe0-8a3a-b78a4a997349 ; https://students.unimelb.edu.au/support-and-wellbeing/?external-uuid=4e5f7149-9190-4fa1-9577-287f3c7ce643
professional staff,5,2,https://arts.unimelb.edu.au/asia-institute/our-people/professional ; https://arts.unimelb.edu.au/school-of-culture-and-communication/our-people/professional-staff ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/our-people/professional ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-people/professional-staff ; https://msd.unimelb.edu.au/about-us/our-people/professional
honorary staff,5,3,https://arts.unimelb.edu.au/school-of-culture-and-communication/our-people/honorary-staff ; https://medicine.unimelb.edu.au/school-structure/paediatrics/engagement/honorary-staff ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/about-us/welcome/our-people/honorary-staff-remote-people-feed ; https://medicine.unimelb.edu.au/school-structure/surgery/about-us/department-precincts/western-campus/honorary-staff ; https://msd.unimelb.edu.au/about-us/our-people/honorary
books,5,3,https://arts.unimelb.edu.au/research-unit-for-multilingualism-and-cross-cultural-communication/publications/books ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-research/comparative-network-on-refugee-externalisation-policies/publications/books ; https://education.unimelb.edu.au/research/books ; https://education.unimelb.edu.au/life-patterns/reports-and-publications/books ; https://medicine.unimelb.edu.au/cersh/resources/resource-library/books
advisory board,5,2,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/people/advisory-board ; https://arts.unimelb.edu.au/centre-for-advancing-journalism/about/advisory-board ; https://arts.unimelb.edu.au/language-testing-research-centre/welcome/about/our-people/advisory-board ; https://fbe.unimelb.edu.au/managementmarketing/our-people/supply-chain-advisory-board ; https://fbe.unimelb.edu.au/managementmarketing/our-people/department-of-management-and-marketing-advisory-board
graduate coursework,5,2,https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/welcome/graduate-coursework ; https://fbe.unimelb.edu.au/accounting/study-with-us/graduate-coursework ; https://fbe.unimelb.edu.au/economics/study-with-us/graduate-coursework ; https://fbe.unimelb.edu.au/finance/study/graduate-coursework ; https://fbe.unimelb.edu.au/managementmarketing/study-with-us/graduate-coursework
seminars,5,4,https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/welcome/hps-seminars ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/news-and-events/seminars-department-of-microbiology-and-immunology ; https://fbe.unimelb.edu.au/economics/economics-experiments/seminars ; https://fbe.unimelb.edu.au/managementmarketing/mibru/monthly_seminars ; https://medicine.unimelb.edu.au/school-structure/critcare/about-us/the-big-question-webinar/the-big-question-webinar
international students,5,3,https://arts.unimelb.edu.au/current-students-international-students ; https://law.unimelb.edu.au/study/graduate-research-degrees/fees-and-scholarships/international-students ; https://students.unimelb.edu.au/support-and-wellbeing/international-student-support ; https://students.unimelb.edu.au/support-and-wellbeing/international-student-support?in_c=sinfo-Navigation.source~students.medium~page_listing.content~new-students ; https://students.unimelb.edu.au/support-and-wellbeing/international-student-support?in_c=sinfo-Navigation.source~students.medium~page_listing.content~support-and-wellbeing
enrichment,5,2,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts ; https://arts.unimelb.edu.au/students/graduate-coursework/enrichment ; https://law.unimelb.edu.au/students/jd/enrichment ; https://law.unimelb.edu.au/students/masters/enrichment ; https://law.unimelb.edu.au/students/grd/enrichment
master of biomedical science,5,2,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science ; https://biomedicalsciences.unimelb.edu.au/study/meetourtalent/meet-our-masters-graduates/study-the-master-of-biomedical-science ; https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/scs/study/honours-and-graduate-research/masters ; https://study.unimelb.edu.au/find/courses/graduate/master-of-biomedical-science/ ; https://study.unimelb.edu.au/find/courses/graduate/master-of-biomedical-science
our history,5,4,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/about/our-history ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/about/our-history ; https://fbe.unimelb.edu.au/about/history ; https://mdhs.unimelb.edu.au/about/our-history ; https://msd.unimelb.edu.au/about-us/history
archive news,5,3,https://biomedicalsciences.unimelb.edu.au/news-and-events/archive-news ; https://dental.unimelb.edu.au/news-and-events/archive-news ; https://medicine.unimelb.edu.au/news-and-events/archive-news ; https://medicine.unimelb.edu.au/school-structure/baker-department-of-cardiometabolic-health/baker-news-and-events/archive-news2 ; https://medicine.unimelb.edu.au/school-structure/surgery/news-and-events/archive-news
welcome from the head of school,5,2,https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2025/welcome-from-the-head-of-school ; https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2023/welcome-from-the-head-of-school ; https://medicine.unimelb.edu.au/engage/alumni/chiron/chiron-2025/welcome-from-the-head-of-school ; https://medicine.unimelb.edu.au/about/welcome-from-the-head-of-school ; https://medicine.unimelb.edu.au/engage/alumni/chiron/chiron-2021/welcome-from-the-head-of-school
support,5,3,https://dental.unimelb.edu.au/engage/support ; https://mdhs.unimelb.edu.au/our-organisation/institutes-centres-departments/cymh/engagement/support ; https://mdhs.unimelb.edu.au/about/indigenous-development/study ; https://medicine.unimelb.edu.au/engage/support ; https://medicine.unimelb.edu.au/school-structure/paediatrics/engagement/redirects/support
support and wellbeing,5,2,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/financial-aid ; https://students.unimelb.edu.au/student-support ; https://students.unimelb.edu.au/student-support/housing ; https://students.unimelb.edu.au/student-support/scholarships-and-financial-support/financial-aid ; https://students.unimelb.edu.au/support-and-wellbeing
counselling and psychological services,5,4,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/counselling ; https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/counselling ; https://services.unimelb.edu.au/counsel ; https://services.unimelb.edu.au/counsel/home ; https://students.unimelb.edu.au/student-life/?external-uuid=6316a82e-0b24-4787-8a51-f5852071a9a1
library,5,4,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/library ; https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/library ; https://msd.unimelb.edu.au/explore/the-ground-floor/library ; https://msd.unimelb.edu.au/about-us/glyn-davis-building/spaces/library ; https://research.unimelb.edu.au/facilities/library
engagement,5,3,https://education.unimelb.edu.au/research/academic-groups/learning-intervention/engagement ; https://fbe.unimelb.edu.au/cibl/engagement ; https://law.unimelb.edu.au/centres/cilis/engagement ; https://law.unimelb.edu.au/centres/clen/engagement ; https://law.unimelb.edu.au/laureate-programs/lpccl/engagement
student life,5,3,https://eng.unimelb.edu.au/ingenium/student-life?in_c=homepage-browse ; https://eng.unimelb.edu.au/ingenium/student-life ; https://students.unimelb.edu.au/student-life ; https://students.unimelb.edu.au/student-life?in_c=sinfo-student-life.source~students.medium~page_listing.content~homepage-promo-news-and-events ; https://study.unimelb.edu.au/student-life
intercultural career mentoring program,5,1,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program ; https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program ; https://eng.unimelb.edu.au/students/coursework/student-experience/international-opportunities/ICMP ; https://eng.unimelb.edu.au/students/coursework/student-experience/study-overseas/ICMP ; https://eng.unimelb.edu.au/industry/students/intercultural-career-mentoring-program
my course planner,5,2,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/my-course-planner ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/faculty-course-planning-resources/my-course-planner ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/faculty-course-planning-resources/my-course-planner?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects/faculty-course-planning-resources/my-course-planner ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects/faculty-course-planning-resources/my-course-planner?in_c=sinfo-enrolmentandcourseplanning_S12022%7Csource=students%7Cmedium=banner%7Ccontent=planner
search the newsroom,5,1,https://fbe.unimelb.edu.au/newsroom/search?queries_section_query=research ; https://fbe.unimelb.edu.au/newsroom/search ; https://fbe.unimelb.edu.au/newsroom/search?mode=results&current_result_page=2&results_per_page=20&queries_section_query=research ; https://fbe.unimelb.edu.au/newsroom/search?mode=results&current_result_page=3&results_per_page=20&queries_section_query=research ; https://fbe.unimelb.edu.au/newsroom/search?mode=results&current_result_page=1&results_per_page=20&queries_section_query=research
sign up,5,3,https://fbe.unimelb.edu.au/fbe-main-site/medal-lab/jingjing-chen/jinjing-chen ; https://fbe.unimelb.edu.au/fbe-main-site/medal-lab/rimsha-rehan/rimsha-rehan ; https://fbe.unimelb.edu.au/fbe-main-site/research-snapshots/mike-stephens/mike-stephens ; https://finearts-music.unimelb.edu.au/sign-up ; https://law.unimelb.edu.au/mls-staff-listing-records/institute-for-international-law-and-the-humanities/associate-members/faizan-jawed-siddiqi/faizan-jawed-siddiqi
2017,5,2,https://fbe.unimelb.edu.au/icrodsc/research/workshops_and_seminars/2017 ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/upcoming-conferences-and-seminars ; https://law.unimelb.edu.au/centres/mcle/research/workshops/2017-going-beyond-the-crisis-response-building-trust-and-maintaining-legitimacy-in-environmental-flows ; https://law.unimelb.edu.au/centres/mcle/research/workshops/legal-rights-of-rivers ; https://law.unimelb.edu.au/centres/celrl/news-and-events/past-events/2017
directors note  complete credits,5,1,https://finearts-music.unimelb.edu.au/showcase/suor-angelica-and-das-kleine-mahagonny/directors-note-and-complete-credits ; https://finearts-music.unimelb.edu.au/showcase/2025/events/cendrillon/directors-note-and-complete-credits ; https://finearts-music.unimelb.edu.au/showcase/2025/events/lincoronazione-di-poppea-by-claudio-monteverdi/complete-credits ; https://finearts-music.unimelb.edu.au/showcase/2025/2025-graduating-season/stage/cendrillon/directors-note-and-complete-credits ; https://finearts-music.unimelb.edu.au/showcase/2025/2025-graduating-season/music/cendrillon/directors-note-and-complete-credits
credits,5,1,"https://finearts-music.unimelb.edu.au/showcase/archived/2024/events/phases/credits ; https://finearts-music.unimelb.edu.au/showcase/archived/2023/events/before,-between,-beyond/credits ; https://finearts-music.unimelb.edu.au/showcase/archived/2023/events/gesturing-weaving-unfolding/credits ; https://finearts-music.unimelb.edu.au/showcase/archived/2022/events/37/credits ; https://finearts-music.unimelb.edu.au/showcase/archived/2022/events/the-wolves/credits"
newsletters,5,2,https://law.unimelb.edu.au/centres/mls-hr-program/projects/human-rights-newsletter/newsletters ; https://law.unimelb.edu.au/centres/errn/research/newsletters ; https://law.unimelb.edu.au/centres/mccl/home/newsletters ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter ; https://medicine.unimelb.edu.au/school-structure/psychiatry/newsletter/newsletter_1st-edition
education,5,3,https://law.unimelb.edu.au/centres/statelessness/education ; https://mdhs.unimelb.edu.au/advancing-health-2030/education ; https://medicine.unimelb.edu.au/about/advancing-medicine/education ; https://medicine.unimelb.edu.au/cersh/education ; https://medicine.unimelb.edu.au/school-structure/surgery/about-us/department-precincts/western-campus/education
leave of absence,5,2,https://law.unimelb.edu.au/students/masters/studies/leave-of-absence ; https://students.unimelb.edu.au/course-admin/leave-of-absence ; https://students.unimelb.edu.au/course-admin/leave-of-absence?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/your-course/manage-your-course/course-enrolment/leave-of-absence ; https://students.unimelb.edu.au/your-course/manage-your-course/course-enrolment/leave-of-absence?in_c=sinfo-re-enrolment-S1-25.source~students.medium~page_link.content~
illumina,5,1,https://mdhs.unimelb.edu.au/international-partnership/americas/Illumina-mdhs-partnership ; https://mdhs.unimelb.edu.au/centre-for-cancer-research/our-research/precision-oncology-research-group/illumina-partnership ; https://mdhs.unimelb.edu.au/centre-for-cancer-research/our-research/precision-oncology-research-group/illumina-uom-partnership/platforms/clinical-genomics-platform ; https://mdhs.unimelb.edu.au/centre-for-cancer-research/our-research/precision-oncology-research-group/illumina-uom-partnership/platforms/bioinformatics-platform ; https://mdhs.unimelb.edu.au/centre-for-cancer-research/our-research/precision-oncology-research-group/illumina-uom-partnership/platforms/health-economics-platform
studio 5,5,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-5 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM1-Studios/studio-5 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-5 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-5 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-5
